"SNR","SC","CX","HBWW","ZGZ","Asy"
0,0.0604,0.0316,0.0598,0.0578,0.0554
0.2,0.071,0.034,0.0704,0.069,0.064
0.4,0.0874,0.0364,0.0872,0.0858,0.07
0.8,0.1254,0.0324,0.125,0.1232,0.093
1.6,0.2112,0.0316,0.2112,0.2074,0.142
3.2,0.4668,0.0354,0.4666,0.464,0.3098
