"SNR","SC","CX","HBWW","ZGZ","Asy","Rho"
5,0.7762,0.0582,0.7766,0.7758,0.7356,0
5,0.1576,0.0488,0.157,0.15,0.5978,0.1
5,0.1086,0.0504,0.1076,0.0998,0.6026,0.2
5,0.095,0.0508,0.095,0.0832,0.5866,0.3
5,0.0958,0.0472,0.0956,0.084,0.611,0.4
5,0.0902,0.0504,0.0904,0.075,0.5872,0.5
5,0.0842,0.0504,0.0844,0.0668,0.6094,0.6
5,0.0784,0.0512,0.0786,0.0622,0.5932,0.7
5,0.075,0.0492,0.0748,0.0572,0.6092,0.8
5,0.076,0.0536,0.0756,0.0562,0.598,0.9
