"SNR","SC","CX","HBWW","ZGZ","Asy"
0,0.0694,0.036,0.0696,0.0636,0.056
0.2,0.0876,0.0604,0.0882,0.0804,0.0912
0.4,0.0908,0.128,0.0918,0.084,0.1718
0.8,0.12,0.3744,0.1204,0.1086,0.445
1.6,0.1794,0.7412,0.1792,0.1628,0.9428
3.2,0.4104,0.9998,0.411,0.3806,1
