"SNR","SC","CX","HBWW","ZGZ","Asy"
0,0.057,0.0302,0.057,0.0556,0.0484
0.2,0.063,0.0236,0.0626,0.0626,0.0624
0.4,0.0856,0.0232,0.0862,0.0854,0.0704
0.8,0.1114,0.025,0.1122,0.1104,0.09
1.6,0.2068,0.0294,0.2054,0.2038,0.1452
3.2,0.4722,0.0246,0.4718,0.4696,0.323
