"SNR","SC","CX","HBWW","ZGZ","Asy"
0,0.0632,0.0274,0.0634,0.0622,0.0602
1,0.1364,0.0336,0.1372,0.1342,0.1036
2,0.274,0.028,0.273,0.2696,0.1764
3,0.4306,0.0332,0.4324,0.4248,0.2576
4,0.5846,0.0368,0.5842,0.58,0.3646
